# secret s0 s1 s2 first_cycle_of_this_triple
05 6c d8 b1 17377
65 cc 98 31 17393
3d bf 7e fc 17409
f5 27 4e 9c 17425
1e 04 09 13 17441
ae 39 72 e5 17457
af 54 a9 52 17473
7c 12 25 4b 17489
7d c9 93 27 17505
01 b6 6d da 17521
65 7a f5 ea 17537
4d af 5e bc 17553
18 de bd 7b 17569
ee 4f 9f 3e 17585
3a 65 ca 95 17601
fa 48 91 23 17617
0c b4 68 d0 17633
4f 19 32 64 17649
48 18 30 60 17665
fc 92 25 4b 17681
4b 75 ea d4 17697
8e 82 04 08 17713
17 07 0f 1f 17729
a9 55 ab 57 17745
3d bf 7e fc 17761
45 1a 35 6a 17777
f4 fc f8 f0 17793
41 ad 5b b7 17809
14 b1 63 c6 17825
8f 82 04 09 17841
04 01 03 06 17857
0f 02 04 09 17873
9f e9 d2 a4 17889
dd 44 88 11 17905
0f 02 04 09 17921
02 6d da b5 17937
19 de bd 7a 17953
05 da b5 6a 17969
c9 43 86 0c 17985
94 ea d5 ab 18001
fb 48 91 22 18017
f5 27 4e 9c 18033
b3 50 a1 42 18049
16 07 0f 1e 18065
48 75 eb d6 18081
82 5b b7 6e 18097
50 70 e0 c0 18113
c1 9b 36 6c 18129
f4 91 23 46 18145
cb f5 ea d4 18161
90 eb d6 ad 18177
53 70 e1 c2 18193
70 a6 4d 9b 18209
17 dc b9 72 18225
f2 fd fa f5 18241
99 5e bd 7a 18257
20 d6 ad 5b 18273
63 16 2c 59 18289
b1 50 a0 41 18305
05 b7 6e dc 18321
ec 4f 9e 3d 18337
c7 9a 34 69 18353
d6 9c 39 73 18369
e4 21 43 86 18385
cc 2f 5e bd 18401
59 c5 8b 17 18417
63 7b f7 ef 18433
dd f2 e5 ca 18449
d7 2a 54 a9 18465
cf 2f 5f bf 18481
5b 73 e7 cf 18497
26 61 c2 85 18513
eb 23 47 8f 18529
86 5a b4 68 18545
f7 91 22 44 18561
85 ec d8 b1 18577
29 0e 1d 3a 18593
d5 9c 38 71 18609
5d c4 88 11 18625
11 6b d6 ac 18641
df 9f 3f 7f 18657
23 0d 1a 34 18673
29 0e 1d 3a 18689
05 01 03 07 18705
98 5e bd 7b 18721
91 86 0d 1a 18737
83 ed da b4 18753
63 7b f7 ef 18769
1c 69 d3 a6 18785
b1 50 a0 41 18801
a6 3a 74 e8 18817
e2 96 2c 58 18833
2d 0f 1e 3c 18849
52 c6 8c 18 18865
84 81 03 06 18881
a6 3a 74 e8 18897
46 ac 59 b3 18913
1a 05 0a 15 18929
6f 14 29 52 18945
1d 69 d3 a7 18961
23 0d 1a 34 18977
a1 e0 c0 81 18993
5d 72 e5 ca 19009
ac e2 c5 8b 19025
10 b0 60 c0 19041
fb fe fc f9 19057
4a 18 31 63 19073
fb 48 91 22 19089
14 07 0e 1d 19105
93 5d ba 74 19121
9c 5f be 7d 19137
53 c6 8c 19 19153
4e 19 32 65 19169
33 66 cc 99 19185
fb 25 4a 94 19201
ab 8e 1c 39 19217
ee 22 44 88 19233
6e cf 9f 3e 19249
e8 4e 9d 3b 19265
fc 49 93 26 19281
3e d2 a4 48 19297
39 65 cb 97 19313
6a 15 2a 55 19329
0e 6f df be 19345
c4 41 83 06 19361
ed f9 f3 e7 19377
67 7a f4 e9 19393
3c 09 13 26 19409
11 6b d6 ac 19425
c2 9b 37 6e 19441
26 d7 af 5e 19457
fa 93 27 4e 19473
75 11 23 47 19489
82 5b b7 6e 19505
6e 79 f2 e5 19521
95 5c b8 71 19537
5b a8 51 a2 19553
5f 1f 3f 7f 19569
1f 69 d2 a4 19585
89 58 b0 61 19601
92 30 61 c3 19617
ac 8f 1e 3d 19633
b5 e7 ce 9c 19649
3c 64 c8 90 19665
6c 14 28 50 19681
4a ae 5c b8 19697
fb 48 91 22 19713
f7 fc f9 f2 19729
ff 24 49 92 19745
be 89 12 25 19761
66 7a f4 e8 19777
cf 42 84 09 19793
f4 91 23 46 19809
0f b4 69 d2 19825
d7 47 8f 1f 19841
15 6a d5 aa 19857
c1 2d 5b b7 19873
e1 20 40 81 19889
0b 03 07 0f 19905
91 eb d6 ac 19921
8e 82 04 08 19937
4c c2 85 0b 19953
91 30 60 c1 19969
6a ce 9c 38 19985
ea 23 47 8e 20001
13 dd ba 74 20017
ec 4f 9e 3d 20033
38 65 cb 96 20049
75 7c f8 f1 20065
91 5d bb 77 20081
4c c2 85 0b 20097
cb 98 31 62 20113
2b 0e 1c 39 20129
c8 43 86 0d 20145
7e c9 92 25 20161
fd 92 25 4a 20177
54 71 e3 c6 20193
c9 98 30 61 20209
75 a7 4e 9c 20225
fb fe fc f9 20241
0b b5 6a d4 20257
51 c6 8d 1a 20273
f4 4a 95 2b 20289
04 b7 6e dd 20305
f0 4b 96 2d 20321
d8 28 50 a0 20337
19 05 0b 17 20353
5c c4 88 10 20369
20 60 c0 80 20385
dc 29 53 a6 20401
6b 78 f1 e2 20417
0a d8 b1 63 20433
1b 68 d1 a2 20449
50 c6 8d 1b 20465
09 03 06 0c 20481
83 ed da b4 20497
7f 12 24 49 20513
9c e9 d3 a6 20529
d2 9d 3a 75 20545
9d e9 d3 a7 20561
54 71 e3 c6 20577
a0 8d 1b 36 20593
76 ca 94 28 20609
42 1b 37 6e 20625
1d b2 65 ca 20641
06 01 02 05 20657
b7 e7 cf 9f 20673
c2 f6 ec d8 20689
f4 fc f8 f0 20705
7d 12 25 4a 20721
11 dd bb 77 20737
5a a8 51 a3 20753
ae 54 a9 53 20769
0f d9 b2 64 20785
e6 4c 99 33 20801
0b 03 07 0f 20817
08 6e dd bb 20833
56 1c 39 73 20849
56 71 e2 c5 20865
76 ca 94 28 20881
f2 90 21 43 20897
c8 2e 5d bb 20913
3b 08 11 22 20929
37 0a 14 29 20945
a5 e1 c3 87 20961
87 37 6f df 20977
64 17 2e 5d 20993
a7 8c 19 32 21009
03 b6 6c d9 21025
39 be 7d fa 21041
cc 2f 5e bd 21057
d4 47 8e 1d 21073
1b b3 67 cf 21089
98 e8 d0 a0 21105
85 ec d8 b1 21121
f3 26 4c 99 21137
8a 35 6a d5 21153
dc 44 88 10 21169
d0 f0 e0 c0 21185
39 65 cb 97 21201
89 83 06 0c 21217
39 65 cb 97 21233
ad 8f 1e 3c 21249
d9 f3 e6 cc 21265
3f d2 a4 49 21281
5a 73 e7 ce 21297
92 eb d7 ae 21313
73 cb 97 2f 21329
a6 3a 74 e8 21345
98 e8 d0 a0 21361
56 aa 54 a8 21377
9b 85 0a 14 21393
f5 27 4e 9c 21409
e0 20 40 80 21425
80 5b b6 6d 21441
ee 94 29 53 21457
fd 92 25 4a 21473
f5 fc f8 f1 21489
68 15 2b 56 21505
6a ce 9c 38 21521
4c 19 33 66 21537
ff ff ff ff 21553
e2 fb f7 ee 21569
fd 24 48 91 21585
cd 42 85 0a 21601
f9 48 90 21 21617
05 6c d8 b1 21633
4b c3 87 0f 21649
8c ef de bd 21665
5e 72 e4 c8 21681
0d 02 05 0a 21697
87 5a b4 69 21713
47 c1 82 04 21729
ef f9 f2 e4 21745
26 61 c2 85 21761
98 e8 d0 a0 21777
ac 8f 1e 3d 21793
b7 8a 14 29 21809
51 70 e0 c1 21825
af 54 a9 52 21841
04 b7 6e dd 21857
99 e8 d0 a1 21873
82 80 01 03 21889
03 00 01 02 21905
0b 6e dc b9 21921
b8 3e 7d fb 21937
93 30 61 c2 21953
ef 94 29 52 21969
2b 63 c7 8f 21985
7f a4 49 92 22001
48 18 30 60 22017
b6 e7 cf 9e 22033
68 15 2b 56 22049
b8 e5 cb 96 22065
3b 08 11 22 22081
51 70 e0 c1 22097
ac 54 a8 50 22113
e6 fa f4 e8 22129
f6 91 22 45 22145
8a 83 07 0e 22161
cc f4 e8 d0 22177
e3 fb f7 ef 22193
09 6e dd ba 22209
7a a5 4a 95 22225
5b 1e 3c 79 22241
75 a7 4e 9c 22257
ae e2 c4 88 22273
b2 e6 cc 98 22289
cc 42 85 0b 22305
39 d3 a6 4c 22321
f8 93 26 4d 22337
7e 12 24 48 22353
f9 48 90 21 22369
1b b3 67 cf 22385
f2 26 4c 98 22401
9d e9 d3 a7 22417
7e 12 24 48 22433
59 1e 3d 7a 22449
d7 2a 54 a9 22465
dd 44 88 11 22481
fb 25 4a 94 22497
2e 62 c4 88 22513
ec 94 28 50 22529
de f2 e4 c8 22545
15 dc b8 71 22561
59 1e 3d 7a 22577
73 7d fa f4 22593
bc 52 a5 4b 22609
71 7d fb f7 22625
df f2 e4 c9 22641
0a d8 b1 63 22657
41 c0 80 01 22673
d1 f0 e0 c1 22689
c0 f6 ed db 22705
5c c4 88 10 22721
80 36 6d db 22737
29 b8 70 e1 22753
b9 e5 cb 97 22769
81 80 00 01 22785
a9 38 70 e1 22801
b1 3d 7b f7 22817
37 bc 79 f2 22833
4e c2 84 08 22849
5c 1f 3e 7d 22865
73 7d fa f4 22881
be 52 a4 48 22897
66 cc 99 33 22913
01 db b6 6c 22929
b0 8b 16 2d 22945
eb f8 f1 e2 22961
ee 22 44 88 22977
4e af 5f be 22993
19 de bd 7a 23009
2f 0f 1f 3f 23025
2f 0f 1f 3f 23041
4c 74 e8 d0 23057
9e 32 64 c8 23073
45 1a 35 6a 23089
94 5c b8 70 23105
e9 23 46 8c 23121
26 61 c2 85 23137
3c 64 c8 90 23153
67 7a f4 e9 23169
a7 57 af 5f 23185
1e df bf 7e 23201
a8 38 70 e0 23217
41 ad 5b b7 23233
89 83 06 0c 23249
78 a5 4b 96 23265
99 85 0b 17 23281
01 6d db b7 23297
7d 12 25 4a 23313
e5 21 43 87 23329
18 de bd 7b 23345
92 5d ba 75 23361
5a a8 51 a3 23377
d4 9c 38 70 23393
9b 33 67 cf 23409
de 9f 3f 7e 23425
ed 4f 9e 3c 23441
89 83 06 0c 23457
02 6d da b5 23473
a7 57 af 5f 23489
33 66 cc 99 23505
67 cc 99 32 23521
cc f4 e8 d0 23537
74 ca 95 2b 23553
1f 04 09 12 23569
07 da b4 69 23585
23 bb 77 ef 23601
17 07 0f 1f 23617
9f e9 d2 a4 23633
d1 f0 e0 c1 23649
5f 72 e4 c9 23665
97 ea d4 a9 23681
2d 62 c5 8a 23697
83 36 6c d9 23713
9b 33 67 cf 23729
8a 83 07 0e 23745
fe 24 49 93 23761
f3 90 21 42 23777
33 66 cc 99 23793
41 1b 36 6c 23809
af 39 72 e4 23825
f3 90 21 42 23841
a8 55 ab 56 23857
1a 68 d1 a3 23873
94 31 63 c6 23889
84 81 03 06 23905
b3 50 a1 42 23921
4c 19 33 66 23937
07 b7 6f df 23953
eb 95 2a 54 23969
e4 97 2e 5d 23985
f8 25 4b 96 24001
66 17 2f 5e 24017
b5 8a 15 2a 24033
0c d9 b3 66 24049
53 ab 57 af 24065
0d 02 05 0a 24081
36 0a 14 28 24097
07 6c d9 b2 24113
01 6d db b7 24129
06 b7 6f de 24145
b4 51 a3 46 24161
58 1e 3d 7b 24177
c7 2c 59 b2 24193
a6 e1 c2 85 24209
95 87 0e 1c 24225
a9 e3 c6 8c 24241
d0 46 8d 1b 24257
5c c4 88 10 24273
c8 98 30 60 24289
0c 02 05 0b 24305
f4 fc f8 f0 24321
7f 7f ff ff 24337
dc f2 e5 cb 24353
52 c6 8c 18 24369
c1 2d 5b b7 24385
12 6b d7 ae 24401
8d 34 68 d1 24417
09 03 06 0c 24433
cb 98 31 62 24449
a0 56 ad 5b 24465
96 31 62 c5 24481
a4 57 ae 5d 24497
b3 50 a1 42 24513
82 80 01 03 24529
4b 18 31 62 24545
53 1d 3a 74 24561
dc 29 53 a6 24577
1c 69 d3 a6 24593
32 66 cc 98 24609
ad 54 a8 51 24625
a6 3a 74 e8 24641
c5 9a 35 6a 24657
a8 38 70 e0 24673
f2 4b 97 2e 24689
5b 73 e7 cf 24705
14 6a d5 ab 24721
63 7b f7 ef 24737
a4 57 ae 5d 24753
dc 29 53 a6 24769
f4 27 4e 9d 24785
4c 74 e8 d0 24801
6f cf 9f 3f 24817
fb 25 4a 94 24833
83 ed da b4 24849
83 5b b7 6f 24865
fb 48 91 22 24881
08 d8 b0 60 24897
a1 e0 c0 81 24913
2f d4 a9 52 24929
a0 3b 76 ed 24945
3f d2 a4 49 24961
1a b3 67 ce 24977
e7 97 2f 5f 24993
37 0a 14 29 25009
8b 83 07 0f 25025
05 6c d8 b1 25041
84 ec d8 b0 25057
8a 58 b1 63 25073
ae 8f 1f 3e 25089
ec 4f 9e 3d 25105
9d e9 d3 a7 25121
92 30 61 c3 25137
c6 2c 59 b3 25153
9f 5f bf 7f 25169
d5 47 8e 1c 25185
76 a7 4f 9e 25201
e0 4d 9b 36 25217
50 c6 8d 1b 25233
96 31 62 c5 25249
5e 72 e4 c8 25265
7e c9 92 25 25281
4e c2 84 08 25297
89 ee dd ba 25313
ce f4 e9 d3 25329
b2 50 a1 43 25345
73 7d fa f4 25361
73 a6 4c 99 25377
c9 43 86 0c 25393
17 6a d4 a9 25409
0a b5 6a d5 25425
10 dd bb 76 25441
b4 51 a3 46 25457
72 cb 97 2e 25473
94 ea d5 ab 25489
a9 38 70 e1 25505
10 dd bb 76 25521
9d 84 08 11 25537
c8 43 86 0d 25553
cf f4 e9 d2 25569
c4 9a 35 6b 25585
ff 24 49 92 25601
fb 48 91 22 25617
cb 2e 5c b9 25633
2d 0f 1e 3c 25649
df f2 e4 c9 25665
0a 6e dc b8 25681
96 87 0f 1e 25697
6c a2 45 8b 25713
37 67 cf 9f 25729
08 d8 b0 60 25745
b1 50 a0 41 25761
ec 4f 9e 3d 25777
b9 88 10 21 25793
dc f2 e5 cb 25809
4c c2 85 0b 25825
bc 89 13 26 25841
56 1c 39 73 25857
bf 52 a4 49 25873
7f 7f ff ff 25889
70 10 20 40 25905
b1 8b 16 2c 25921
1f b2 64 c9 25937
bc 89 13 26 25953
a2 3b 77 ee 25969
1c 69 d3 a6 25985
66 a1 42 85 26001
3a 65 ca 95 26017
05 da b5 6a 26033
bd 3f 7e fc 26049
2f d4 a9 52 26065
19 b3 66 cc 26081
cb f5 ea d4 26097
37 d1 a2 44 26113
63 16 2c 59 26129
20 60 c0 80 26145
4a 75 ea d5 26161
b6 3c 79 f3 26177
a4 3a 75 eb 26193
4c c2 85 0b 26209
8f ef df bf 26225
20 bb 76 ed 26241
2b 63 c7 8f 26257
b8 3e 7d fb 26273
73 a6 4c 99 26289
9d 32 65 ca 26305
98 85 0b 16 26321
7c 7f fe fd 26337
4f 74 e9 d2 26353
7c a4 48 90 26369
b9 e5 cb 97 26385
6a 15 2a 55 26401
1c 69 d3 a6 26417
b9 e5 cb 97 26433
d3 46 8c 19 26449
d1 f0 e0 c1 26465
68 15 2b 56 26481
91 eb d6 ac 26497
19 b3 66 cc 26513
cf f4 e9 d2 26529
01 db b6 6c 26545
5a 73 e7 ce 26561
ba e5 ca 95 26577
c8 98 30 60 26593
ec 94 28 50 26609
ea 23 47 8e 26625
e5 4c 98 31 26641
0b 03 07 0f 26657
9d 84 08 11 26673
19 05 0b 17 26689
97 87 0f 1f 26705
fb 48 91 22 26721
16 6a d4 a8 26737
9e 5f bf 7e 26753
3b 65 ca 94 26769
2d d4 a8 51 26785
2f d4 a9 52 26801
7a 13 27 4e 26817
50 70 e0 c0 26833
ff 92 24 49 26849
f0 26 4d 9b 26865
be 52 a4 48 26881
3b d3 a7 4f 26897
76 a7 4f 9e 26913
1b de bc 79 26929
29 d5 ab 57 26945
39 08 10 21 26961
ae e2 c4 88 26977
7c a4 48 90 26993
d3 9d 3a 74 27009
41 1b 36 6c 27025
98 85 0b 16 27041
d5 2a 55 aa 27057
e3 fb f7 ef 27073
76 7c f9 f3 27089
17 6a d4 a9 27105
48 18 30 60 27121
92 86 0c 18 27137
5d a9 53 a7 27153
3b d3 a7 4f 27169
ac 54 a8 50 27185
2c b9 73 e6 27201
e2 fb f7 ee 27217
5c a9 53 a6 27233
9a 33 67 ce 27249
3f 09 12 24 27265
36 bc 79 f3 27281
e4 21 43 86 27297
63 cd 9a 34 27313
8a 58 b1 63 27329
86 81 02 05 27345
c6 f7 ef de 27361
1b de bc 79 27377
59 c5 8b 17 27393
e2 20 41 83 27409
89 83 06 0c 27425
00 6d db b6 27441
04 01 03 06 27457
51 70 e0 c1 27473
69 a3 46 8c 27489
55 c7 8e 1c 27505
14 07 0e 1d 27521
e2 20 41 83 27537
54 c7 8e 1d 27553
32 d0 a1 43 27569
7d c9 93 27 27585
a2 56 ac 58 27601
be 89 12 25 27617
b6 51 a2 45 27633
88 58 b0 60 27649
5e 1f 3f 7e 27665
37 67 cf 9f 27681
6b a3 47 8f 27697
f2 4b 97 2e 27713
b8 e5 cb 96 27729
7b 7e fc f9 27745
b4 e7 ce 9d 27761
a0 e0 c0 80 27777
70 10 20 40 27793
83 ed da b4 27809
f1 26 4d 9a 27825
9f 84 09 12 27841
f4 4a 95 2b 27857
97 ea d4 a9 27873
14 6a d5 ab 27889
b7 e7 cf 9f 27905
d6 47 8f 1e 27921
22 bb 77 ee 27937
3f bf 7f ff 27953
26 0c 19 33 27969
62 a0 41 83 27985
12 6b d7 ae 28001
f9 93 26 4c 28017
04 b7 6e dd 28033
af 8f 1f 3f 28049
a9 38 70 e1 28065
c1 40 80 01 28081
56 71 e2 c5 28097
4a ae 5c b8 28113
ac e2 c5 8b 28129
64 17 2e 5d 28145
16 b1 62 c5 28161
f0 fd fb f6 28177
fb 93 27 4f 28193
3b be 7c f9 28209
d1 9d 3b 77 28225
97 5c b9 72 28241
72 7d fa f5 28257
4d 74 e8 d1 28273
b9 53 a6 4c 28289
52 ab 57 ae 28305
fd 49 93 27 28321
af 54 a9 52 28337
30 0b 16 2d 28353
fa 93 27 4e 28369
82 36 6c d8 28385
31 d0 a0 41 28401
a3 e0 c1 82 28417
08 b5 6b d6 28433
5c a9 53 a6 28449
80 36 6d db 28465
55 71 e3 c7 28481
56 aa 54 a8 28497
09 d8 b0 61 28513
34 bc 78 f0 28529
c7 f7 ef df 28545
88 58 b0 60 28561
60 cd 9b 36 28577
3a 08 11 23 28593
ca 98 31 63 28609
f0 4b 96 2d 28625
8f 34 69 d2 28641
75 11 23 47 28657
8b 83 07 0f 28673
ee f9 f2 e5 28689
2b b8 71 e2 28705
12 b0 61 c3 28721
fa 25 4a 95 28737
5d c4 88 11 28753
fc ff fe fd 28769
b4 3c 78 f0 28785
cf f4 e9 d2 28801
f8 25 4b 96 28817
e6 4c 99 33 28833
7e a4 49 93 28849
51 c6 8d 1a 28865
bd 89 13 27 28881
e2 96 2c 58 28897
d8 28 50 a0 28913
c5 2c 58 b1 28929
79 13 26 4c 28945
72 7d fa f5 28961
28 0e 1d 3b 28977
fd ff fe fc 28993
c9 43 86 0c 29009
f4 27 4e 9d 29025
11 dd bb 77 29041
08 d8 b0 60 29057
ee 22 44 88 29073
7a 13 27 4e 29089
65 a1 43 87 29105
27 d7 af 5f 29121
cb 2e 5c b9 29137
2e 0f 1f 3e 29153
02 b6 6c d8 29169
58 1e 3d 7b 29185
f3 fd fa f4 29201
ff 92 24 49 29217
9a 5e bc 78 29233
4e 74 e9 d3 29249
a7 8c 19 32 29265
56 71 e2 c5 29281
6c 79 f3 e6 29297
80 80 00 00 29313
75 7c f8 f1 29329
eb 95 2a 54 29345
1f 69 d2 a4 29361
2a 0e 1c 38 29377
d8 f3 e6 cd 29393
ea f8 f1 e3 29409
b0 8b 16 2d 29425
87 81 02 04 29441
c4 2c 58 b0 29457
10 06 0d 1b 29473
f4 27 4e 9d 29489
91 5d bb 77 29505
66 cc 99 33 29521
e9 4e 9d 3a 29537
e2 20 41 83 29553
1c 69 d3 a6 29569
7e 12 24 48 29585
ca 2e 5c b8 29601
5e c4 89 13 29617
55 aa 55 aa 29633
79 7e fd fa 29649
68 a3 46 8d 29665
bb 53 a7 4f 29681
cf 99 32 64 29697
a2 e0 c1 83 29713
c8 2e 5d bb 29729
81 ed db b7 29745
88 ee dd bb 29761
81 36 6d da 29777
b5 51 a3 47 29793
7d c9 93 27 29809
34 0a 15 2b 29825
b7 51 a2 44 29841
c7 2c 59 b2 29857
52 1d 3a 75 29873
a1 56 ad 5a 29889
23 bb 77 ef 29905
f2 fd fa f5 29921
a8 8e 1d 3b 29937
a3 3b 77 ef 29953
60 cd 9b 36 29969
91 30 60 c1 29985
43 c0 81 02 30001
4f 19 32 64 30017
41 c0 80 01 30033
7c a4 48 90 30049
20 60 c0 80 30065
0d d9 b3 67 30081
54 aa 55 ab 30097
c0 9b 36 6d 30113
8a ee dc b8 30129
11 dd bb 77 30145
d0 46 8d 1b 30161
29 0e 1d 3a 30177
21 60 c0 81 30193
d0 9d 3b 76 30209
db 9e 3c 79 30225
20 d6 ad 5b 30241
5e c4 89 13 30257
c4 41 83 06 30273
ee f9 f2 e5 30289
7c 12 25 4b 30305
4a ae 5c b8 30321
55 71 e3 c7 30337
21 bb 76 ec 30353
ff 92 24 49 30369
81 80 00 01 30385
b5 8a 15 2a 30401
e8 95 2b 56 30417
3a be 7c f8 30433
03 b6 6c d9 30449
ef 94 29 52 30465
31 d0 a0 41 30481
0a 6e dc b8 30497
1d df be 7c 30513
18 05 0b 16 30529
cb 43 87 0f 30545
e3 fb f7 ef 30561
d0 2b 56 ad 30577
54 1c 38 70 30593
ef 22 44 89 30609
7a 7e fc f8 30625
ba 3e 7c f8 30641
44 1a 35 6b 30657
b9 3e 7d fa 30673
b5 e7 ce 9c 30689
33 bd 7a f4 30705
90 86 0d 1b 30721
3d 64 c8 91 30737
de f2 e4 c8 30753
5a c5 8a 15 30769
52 c6 8c 18 30785
1c df be 7d 30801
f5 fc f8 f1 30817
31 0b 16 2c 30833
0f 02 04 09 30849
17 dc b9 72 30865
3d d2 a5 4a 30881
52 1d 3a 75 30897
8b 83 07 0f 30913
e0 96 2d 5b 30929
5d 1f 3e 7c 30945
c9 2e 5d ba 30961
a7 e1 c2 84 30977
c0 f6 ed db 30993
b5 3c 78 f1 31009
da 45 8a 15 31025
63 16 2c 59 31041
82 80 01 03 31057
da 45 8a 15 31073
8e ef df be 31089
fc 92 25 4b 31105
5d 72 e5 ca 31121
90 30 60 c0 31137
55 c7 8e 1c 31153
d5 f1 e3 c7 31169
b5 51 a3 47 31185
09 03 06 0c 31201
be 89 12 25 31217
bd 89 13 27 31233
37 d1 a2 44 31249
f6 27 4f 9e 31265
03 b6 6c d9 31281
e8 4e 9d 3b 31297
74 ca 95 2b 31313
07 6c d9 b2 31329
7d 12 25 4a 31345
9b e8 d1 a2 31361
43 1b 37 6f 31377
1c df be 7d 31393
0a b5 6a d5 31409
9f 5f bf 7f 31425
2a 63 c7 8e 31441
02 00 01 03 31457
5f c4 89 12 31473
29 0e 1d 3a 31489
e1 20 40 81 31505
68 15 2b 56 31521
d9 9e 3d 7a 31537
91 eb d6 ac 31553
69 a3 46 8c 31569
4c 19 33 66 31585
01 b6 6d da 31601
65 7a f5 ea 31617
dd f2 e5 ca 31633
fb fe fc f9 31649
a0 3b 76 ed 31665
88 58 b0 60 31681
e7 4c 99 32 31697
d0 9d 3b 76 31713
df f2 e4 c9 31729
bf 89 12 24 31745
45 ac 58 b1 31761
43 76 ec d9 31777
3f d2 a4 49 31793
67 17 2f 5f 31809
cc 99 33 66 31825
a4 57 ae 5d 31841
eb 4e 9c 39 31857
89 58 b0 61 31873
ac e2 c5 8b 31889
47 ac 59 b2 31905
49 c3 86 0c 31921
1d b2 65 ca 31937
1f 69 d2 a4 31953
40 c0 80 00 31969
9d 5f be 7c 31985
49 ae 5d ba 32001
2f d4 a9 52 32017
ac 39 73 e6 32033
43 ad 5a b4 32049
c5 f7 ee dc 32065
0a d8 b1 63 32081
f2 4b 97 2e 32097
18 68 d0 a0 32113
20 d6 ad 5b 32129
4c c2 85 0b 32145
0d b4 68 d1 32161
f2 fd fa f5 32177
04 01 03 06 32193
79 a5 4b 97 32209
e6 21 42 85 32225
1f 69 d2 a4 32241
c9 2e 5d ba 32257
34 67 ce 9d 32273
7b a5 4a 94 32289
8d 59 b3 67 32305
70 7d fb f6 32321
5f c4 89 12 32337
6a 78 f1 e3 32353
be 52 a4 48 32369
2b 0e 1c 39 32385
0d 6f de bc 32401
8b ee dc b9 32417
87 ec d9 b2 32433
06 6c d9 b3 32449
77 11 22 44 32465
30 0b 16 2d 32481
16 b1 62 c5 32497
e7 97 2f 5f 32513
30 bd 7b f6 32529
1b de bc 79 32545
c3 40 81 02 32561
29 0e 1d 3a 32577
1f df bf 7f 32593
d6 47 8f 1e 32609
75 a7 4e 9c 32625
66 17 2f 5e 32641
4e af 5f be 32657
b6 3c 79 f3 32673
ec 94 28 50 32689
46 ac 59 b3 32705
ea f8 f1 e3 32721
7d c9 93 27 32737
69 78 f0 e1 32753
96 5c b9 73 32769
4a c3 87 0e 32785
91 5d bb 77 32801
61 16 2d 5a 32817
6b a3 47 8f 32833
a8 e3 c6 8d 32849
13 b0 61 c2 32865
0a b5 6a d5 32881
b4 8a 15 2b 32897
bc 52 a5 4b 32913
93 5d ba 74 32929
0e 02 04 08 32945
a5 8c 18 31 32961
73 10 21 42 32977
f3 fd fa f4 32993
f5 fc f8 f1 33009
2c 62 c5 8b 33025
af e2 c4 89 33041
3d 09 13 27 33057
d4 9c 38 70 33073
b4 8a 15 2b 33089
95 ea d5 aa 33105
94 87 0e 1d 33121
0f b4 69 d2 33137
53 70 e1 c2 33153
a3 3b 77 ef 33169
29 63 c6 8c 33185
99 5e bd 7a 33201
22 0d 1a 35 33217
79 c8 90 21 33233
9a e8 d1 a3 33249
e7 fa f4 e9 33265
f1 fd fb f7 33281
f1 4b 96 2c 33297
87 ec d9 b2 33313
ee 22 44 88 33329
97 ea d4 a9 33345
f1 4b 96 2c 33361
29 0e 1d 3a 33377
61 7b f6 ec 33393
4c af 5e bd 33409
92 eb d7 ae 33425
a4 3a 75 eb 33441
b9 88 10 21 33457
9d 84 08 11 33473
19 68 d0 a1 33489
c7 9a 34 69 33505
8c 34 68 d0 33521
fe ff ff fe 33537
43 c0 81 02 33553
52 c6 8c 18 33569
6e 14 29 53 33585
8f 34 69 d2 33601
d7 f1 e2 c4 33617
8d 59 b3 67 33633
fd 92 25 4a 33649
a7 e1 c2 84 33665
3f d2 a4 49 33681
0b b5 6a d4 33697
0b 6e dc b9 33713
d6 47 8f 1e 33729
5e c4 89 13 33745
e8 4e 9d 3b 33761
02 b6 6c d8 33777
da 9e 3c 78 33793
1f 04 09 12 33809
16 dc b9 73 33825
20 0d 1b 36 33841
79 7e fd fa 33857
e2 20 41 83 33873
47 77 ef df 33889
d4 2a 55 ab 33905
9e e9 d2 a5 33921
e5 fa f5 ea 33937
26 d7 af 5e 33953
86 37 6f de 33969
92 86 0c 18 33985
87 ec d9 b2 34001
88 83 06 0d 34017
58 1e 3d 7b 34033
67 17 2f 5f 34049
72 cb 97 2e 34065
f7 fc f9 f2 34081
b0 e6 cd 9b 34097
b6 3c 79 f3 34113
c9 43 86 0c 34129
38 65 cb 96 34145
97 5c b9 72 34161
b7 51 a2 44 34177
8b 83 07 0f 34193
f0 90 20 40 34209
23 60 c1 82 34225
56 c7 8f 1e 34241
24 0c 18 30 34257
42 c0 81 03 34273
a9 e3 c6 8c 34289
3d 09 13 27 34305
11 06 0d 1a 34321
df 29 52 a4 34337
de 44 89 13 34353
22 60 c1 83 34369
6f 79 f2 e4 34385
c7 f7 ef df 34401
d3 9d 3a 74 34417
8e ef df be 34433
c2 2d 5a b5 34449
f0 90 20 40 34465
58 73 e6 cd 34481
b2 50 a1 43 34497
ca f5 ea d5 34513
c1 2d 5b b7 34529
7d a4 48 91 34545
82 ed da b5 34561
06 6c d9 b3 34577
77 ca 94 29 34593
8a ee dc b8 34609
00 6d db b6 34625
e4 21 43 86 34641
fe 92 24 48 34657
